# Blasius solution

# x y U V
0 0.0 9.071295218883625e-29 1.4595225389111523e-37
0 0.04004004004004004 0.013295583133424018 2.86272137876157e-07
0 0.08008008008008008 0.026591083608106678 1.1450828562994928e-06
0 0.12012012012012012 0.03988628887788354 2.5764016457246015e-06
0 0.16016016016016016 0.053180844722864815 4.5801491852517005e-06
0 0.20020020020020018 0.06647425530480164 7.156172950061393e-06
0 0.24024024024024024 0.07976588327226246 1.0304222842627323e-05
0 0.2802802802802803 0.09305494993218237 1.4023926865212445e-05
0 0.3203203203203203 0.1063405355042988 1.8314766856131226e-05
0 0.36036036036036034 0.11962157947490874 2.317605431720915e-05
0 0.40040040040040037 0.13289688106627312 2.8606906364780172e-05
0 0.44044044044044045 0.14616509983784437 3.460622184141621e-05
0 0.4804804804804805 0.15942475643529982 4.1172657630362735e-05
0 0.5205205205205206 0.17267423350311953 4.830460521934102e-05
0 0.5605605605605606 0.18591177677614718 5.6000167564947085e-05
0 0.6006006006006006 0.19913549636521322 6.425713631330642e-05
0 0.6406406406406406 0.2123433682514719 7.307296943690378e-05
0 0.6806806806806807 0.22553323600360806 8.244476935157084e-05
0 0.7207207207207207 0.23870281273149738 9.236926158145076e-05
0 0.7607607607607607 0.2518496832892536 0.00010284277404333488
0 0.8008008008008007 0.2649713067398638 0.00011386121702504937
0 0.8408408408408409 0.27806501909279546 0.00012542006393552831
0 0.8808808808808809 0.29112803632505474 0.0001375143329068007
0 0.9209209209209209 0.30415745769517083 0.00015013856933029297
0 0.960960960960961 0.3171502693585309 0.00016328682941168732
0 1.001001001001001 0.330103348291266 0.00017695266482975169
0 1.0410410410410411 0.34301346652866366 0.00019112910858544172
0 1.0810810810810811 0.35587729572271615 0.0002058086621277909
0 1.1211211211211212 0.36869141202197425 0.00022098328384279506
0 1.1611611611611612 0.3814523012753598 0.00023664437899059042
0 1.2012012012012012 0.3941563645599885 0.00025278279117468816
0 1.2412412412412412 0.406799924031383 0.00026938879542484867
0 1.2812812812812813 0.4193792290927165 0.000286452092972329
0 1.3213213213213213 0.43189046287792876 0.0003039618077927087
0 1.3613613613613613 0.44432974904170564 0.0003219064849872738
0 1.4014014014014013 0.45669315884742057 0.0003402740910690123
0 1.4414414414414414 0.46897671854221296 0.00035905201621365304
0 1.4814814814814814 0.4811764170064315 0.000378227078529856
0 1.5215215215215214 0.49328821366271897 0.0003977855303956593
0 1.5615615615615615 0.5053080466280636 0.0004177130669006156
0 1.6016016016016015 0.5172318410902111 0.0004379948364247403
0 1.6416416416416417 0.5290555178879299 0.0004586154533764683
0 1.6816816816816818 0.5407750022727715 0.0004795590131023263
0 1.7217217217217218 0.552386232828174 0.0005008091089710088
0 1.7617617617617618 0.5638851705200404 0.0005223488516240449
0 1.8018018018018018 0.575267807851306 0.0005441608903743527
0 1.8418418418418419 0.5865301780914918 0.0005662274367227147
0 1.8818818818818819 0.5976683645508473 0.000588530289950679
0 1.921921921921922 0.6086785098674411 0.0006110508647366804
0 1.961961961961962 0.6195568252744488 0.0006337702207303192
0 2.002002002002002 0.630299599813959 0.0006566690940078948
0 2.042042042042042 0.6409032094628608 0.0006797279303204755
0 2.0820820820820822 0.6513641261358137 0.0007029269200341756
0 2.1221221221221223 0.6616789265299323 0.0007262460346509176
0 2.1621621621621623 0.671844300775672 0.0007496650647869647
0 2.2022022022022023 0.6818570608584604 0.0007731636594759367
0 2.2422422422422423 0.6917141487759084 0.0007967213666530399
0 2.2822822822822824 0.7014126443959547 0.0008203176746678832
0 2.3223223223223224 0.7109497729820357 0.0008439320546646661
0 2.3623623623623624 0.7203229123523557 0.0008675440036607572
0 2.4024024024024024 0.729529599641532 0.0008911330881478397
0 2.4424424424424425 0.7385675376343181 0.0009146789880339682
0 2.4824824824824825 0.7474346006427564 0.0009381615407400936
0 2.5225225225225225 0.7561288398999653 0.0009615607852609954
0 2.5625625625625625 0.7646484884458268 0.0009848570059980872
0 2.6026026026026026 0.7729919654820769 0.0010080307761703474
0 2.6426426426426426 0.7811578801767257 0.0010310630006096638
