0.0128958 -0.00389964 0.05 0
0.0150621 -0.00390196 0.0571429 0
0.0173444 -0.00382971 0.0642857 0
0.0197312 -0.00368249 0.0714286 0
0.0222094 -0.00346166 0.0785714 0
0.0247658 -0.00317094 0.0857143 0
0.0273876 -0.00281641 0.0928571 0
0.030064 -0.00240598 0.1 0
0.032786 -0.00194854 0.107143 0
0.0355468 -0.00145325 0.114286 0
0.0383414 -0.00092884 0.121429 0
0.0411663 -0.000383332 0.128571 0
0.0440192 0.000176161 0.135714 0
0.0468982 0.000743429 0.142857 0
0.0498022 0.0013131 0.15 0
0.0527301 0.00188055 0.157143 0
0.0556811 0.00244177 0.164286 0
0.0586546 0.00299331 0.171429 0
0.0616498 0.00353216 0.178571 0
0.0646661 0.00405567 0.185714 0
0.0677028 0.00456151 0.192857 0
0.0707592 0.00504764 0.2 0
0.0738345 0.0055122 0.207143 0
0.0769281 0.00595354 0.214286 0
0.0800391 0.00637018 0.221429 0
0.0831668 0.00676076 0.228571 0
0.0863105 0.00712405 0.235714 0
0.0894692 0.00745893 0.242857 0
0.0926423 0.00776436 0.25 0
0.0958288 0.00803938 0.257143 0
0.0990279 0.0082831 0.264286 0
0.102239 0.00849471 0.271429 0
0.105461 0.00867342 0.278571 0
0.108693 0.00881851 0.285714 0
0.111934 0.00892931 0.292857 0
0.115184 0.00900517 0.3 0
0.118441 0.00904548 0.307143 0
0.121705 0.00904966 0.314286 0
0.124975 0.00901716 0.321429 0
0.12825 0.00894743 0.328571 0
0.131529 0.00883997 0.335714 0
0.134811 0.00869428 0.342857 0
0.138096 0.00850987 0.35 0
0.141382 0.00828628 0.357143 0
0.144668 0.00802303 0.364286 0
0.147954 0.00771967 0.371429 0
0.151239 0.00737575 0.378571 0
0.154522 0.00699082 0.385714 0
0.157802 0.00656443 0.392857 0
0.161077 0.00609612 0.4 0
