Variables = x, y, u, v, p

Zone, I=1000, F=POINT
         500            0  4.64375e-15 -2.90093e-25  -0.00551818 
         500     0.860393     0.301437  8.64945e-05  -0.00551798 
         500      0.87655     0.307058  8.97144e-05  -0.00551797 
         500     0.892858     0.312727  9.30201e-05  -0.00551797 
         500     0.909315     0.318441  9.64127e-05  -0.00551796 
         500     0.925924     0.324201  9.98938e-05  -0.00551796 
         500     0.942682     0.330007  0.000103464  -0.00551796 
         500     0.959591     0.335857  0.000107126  -0.00551795 
         500      0.97665     0.341752  0.000110879  -0.00551795 
         500     0.993859      0.34769  0.000114725  -0.00551795 
         500      1.01122     0.353672  0.000118666  -0.00551794 
         500      1.02873     0.359696  0.000122701  -0.00551794 
         500      1.04639     0.365762  0.000126832  -0.00551793 
         500       1.0642     0.371869  0.000131061  -0.00551793 
         500      1.08216     0.378017  0.000135386  -0.00551792 
         500      1.10027     0.384204  0.000139811  -0.00551792 
         500      1.11853     0.390431  0.000144334  -0.00551792 
         500      1.13695     0.396695  0.000148958  -0.00551791 
         500      1.15551     0.402997  0.000153684  -0.00551791 
         500      1.17422     0.409336  0.000158511   -0.0055179 
         500      1.19308      0.41571  0.000163442   -0.0055179 
         500      1.21209     0.422119  0.000168478   -0.0055179 
         500      1.23126     0.428562  0.000173619  -0.00551789 
         500      1.25057     0.435037  0.000178865  -0.00551789 
         500      1.27004     0.441545  0.000184218  -0.00551788 
         500      1.28965     0.448083  0.000189675  -0.00551788 
         500      1.30941      0.45465  0.000195233  -0.00551787 
         500      1.32933     0.461246  0.000200889  -0.00551787 
         500      1.34939      0.46787  0.000206673  -0.00551786 
         500      1.36961     0.474519  0.000212563  -0.00551786 
         500      1.38997     0.481194  0.000218559  -0.00551785 
         500      1.41049     0.487892  0.000224661  -0.00551785 
         500      1.43116     0.494612  0.000230868  -0.00551784 
         500      1.45197     0.501354  0.000237181  -0.00551784 
         500      1.47294     0.508114    0.0002436  -0.00551783 
         500      1.49406     0.514893  0.000250126  -0.00551783 
         500      1.51533     0.521689  0.000256757  -0.00551782 
         500      1.53674       0.5285  0.000263495  -0.00551782 
         500      1.55831     0.535324  0.000270337  -0.00551781 
         500      1.58003      0.54216  0.000277286  -0.00551781 
         500       1.6019     0.549007  0.000284338   -0.0055178 
         500      1.62392     0.555862  0.000291494   -0.0055178 
         500      1.64609     0.562725  0.000298754  -0.00551779 
         500      1.66841     0.569592  0.000306116  -0.00551779 
         500      1.69088     0.576463  0.000313578  -0.00551778 
         500       1.7135     0.583336   0.00032114  -0.00551778 
         500      1.73627     0.590209    0.0003288  -0.00551777 
         500      1.75919     0.597079  0.000336557  -0.00551777 
         500      1.78226     0.603946  0.000344409  -0.00551776 
         500      1.80548     0.610806  0.000352353  -0.00551776 
         500      1.82885     0.617659  0.000360389  -0.00551775 
         500      1.85237     0.624502  0.000368514  -0.00551775 
         500      1.87605     0.631333  0.000376725  -0.00551774 
