Variables = x, y, u, v, p

Zone, I=400, F=POINT
         500            0  4.68243e-15 -2.20016e-25  -0.00471467 
         500      6.01551      0.99687    0.0010329  -0.00471271 
         500      6.12244     0.996943    0.0010341  -0.00471263 
         500      6.23031     0.996997   0.00103526  -0.00471256 
         500      6.33912     0.997038   0.00103638  -0.00471252 
         500      6.44892     0.997068   0.00103746  -0.00471249 
         500      6.55962      0.99709   0.00103849  -0.00471247 
         500      6.67126     0.997107   0.00103949  -0.00471246 
         500      6.78384     0.997119   0.00104044  -0.00471244 
         500      6.89741     0.997128   0.00104137  -0.00471243 
         500      7.01187     0.997133   0.00104229  -0.00471242 
         500      7.12728     0.997137   0.00104324   -0.0047124 
         500      7.24363      0.99714   0.00104423  -0.00471237 
         500      7.36097     0.997142   0.00104525  -0.00471231 
         500       7.4792     0.997146   0.00104625  -0.00471222 
         500      7.59838     0.997148   0.00104717  -0.00471212 
         500      7.71854     0.997147   0.00104817  -0.00471209 
         500       7.8396     0.997146   0.00104915  -0.00471211 
         500      7.96161     0.997145   0.00105018  -0.00471223 
         500      8.08455     0.997142    0.0010516  -0.00471235 
         500      8.20849     0.997147   0.00105254  -0.00471245 
         500      8.33332     0.997146   0.00105338  -0.00471245 
         500      8.45909     0.997146   0.00105475   -0.0047119 
         500       8.5858     0.997148   0.00105611  -0.00471176 
         500      8.71351      0.99715    0.0010574   -0.0047118 
         500       8.8421     0.997151   0.00105847  -0.00471186 
         500      8.97164      0.99715   0.00105931  -0.00471188 
         500      9.10212     0.997149   0.00106006  -0.00471184 
         500       9.2336     0.997149    0.0010609  -0.00471175 
         500      9.36596     0.997148     0.001062  -0.00471163 
         500      9.49927     0.997149   0.00106339   -0.0047115 
         500      9.63352      0.99715   0.00106495  -0.00471138 
         500      9.76877      0.99715   0.00106645  -0.00471128 
         500       9.9049      0.99715   0.00106766  -0.00471122 
         500       10.042      0.99715   0.00106851  -0.00471118 
         500      10.1801     0.997149   0.00106923  -0.00471116 
         500       10.319     0.997149   0.00107025  -0.00471115 
         500      10.4589     0.997149   0.00107193  -0.00471113 
         500      10.5998     0.997151   0.00107362  -0.00471106 
         500      10.7416     0.997154   0.00107358  -0.00471092 
         500      10.8843     0.997156   0.00107593  -0.00471079 
         500       11.028     0.997153   0.00107651  -0.00471063 
         500      11.1726     0.997152    0.0010775  -0.00471046 
         500      11.3182     0.997153   0.00107904  -0.00471031 
         500      11.4647     0.997155   0.00108069  -0.00471017 
         500      11.6122     0.997156   0.00108205  -0.00471004 
         500      11.7605     0.997154   0.00108308  -0.00470991 
         500      11.9099      0.99715     0.001084  -0.00470978 
         500      12.0602     0.997148   0.00108511  -0.00470965 
         500      12.2114     0.997148   0.00108654  -0.00470952 
         500      12.3636     0.997151   0.00108823  -0.00470939 
         500      12.5167     0.997156   0.00108988  -0.00470926 
         500      12.6707     0.997159   0.00109118  -0.00470916 
         500      12.8257     0.997159   0.00109207  -0.00470909 
         500      12.9817     0.997154   0.00109291  -0.00470906 
         500      13.1386     0.997148   0.00109424  -0.00470908 
         500      13.2964     0.997155   0.00109591  -0.00470912 
         500      13.4551     0.997153   0.00109764  -0.00471009 
         500      13.6149     0.997145   0.00109965  -0.00471051 
         500      13.7755     0.997153   0.00110131  -0.00471032 
         500      13.9371      0.99716   0.00110203  -0.00471013 
         500      14.0996     0.997161   0.00110309  -0.00470994 
         500      14.2631     0.997158   0.00110466  -0.00470976 
         500      14.4275     0.997154   0.00110646  -0.00470959 
         500      14.5928     0.997153   0.00110818  -0.00470944 
         500      14.7592     0.997154   0.00110966   -0.0047093 
         500      14.9264     0.997157    0.0011109  -0.00470917 
         500      15.0946     0.997161   0.00111205  -0.00470904 
         500      15.2637     0.997163   0.00111329  -0.00470892 
