Variables = x, y, u, v, p

Zone, I=400, F=POINT
          50            0  2.61656e-18 -4.70832e-30  -0.00741999 
          50      6.12244     0.999848   0.00141609  -0.00741167 
          50      6.23031     0.999848   0.00141642   -0.0074115 
          50      6.33912     0.999848   0.00141674  -0.00741134 
          50      6.44892     0.999848   0.00141704  -0.00741117 
          50      6.55962     0.999848   0.00141734    -0.007411 
          50      6.67126     0.999848   0.00141765  -0.00741083 
          50      6.78384     0.999848   0.00141799  -0.00741068 
          50      6.89741     0.999848   0.00141833   -0.0074105 
          50      7.01187     0.999848   0.00141864  -0.00741032 
          50      7.12728     0.999848   0.00141895  -0.00741014 
          50      7.24363     0.999848   0.00141929  -0.00740997 
          50      7.36097     0.999849   0.00141964  -0.00740979 
          50       7.4792     0.999848   0.00141996  -0.00740961 
          50      7.59838     0.999848   0.00142032  -0.00740944 
          50      7.71854     0.999848   0.00142064  -0.00740927 
          50       7.8396     0.999849   0.00142098  -0.00740909 
          50      7.96161     0.999849   0.00142134  -0.00740892 
          50      8.08455     0.999849   0.00142171  -0.00740874 
          50      8.20849     0.999849   0.00142208  -0.00740855 
          50      8.33332     0.999849   0.00142245  -0.00740836 
          50      8.45909     0.999849   0.00142281  -0.00740817 
          50       8.5858     0.999849    0.0014232  -0.00740795 
          50      8.71351     0.999849   0.00142357  -0.00740771 
          50       8.8421     0.999849   0.00142395  -0.00740751 
          50      8.97164     0.999849   0.00142434  -0.00740732 
          50      9.10212      0.99985   0.00142472  -0.00740714 
          50       9.2336      0.99985   0.00142509  -0.00740695 
          50      9.36596     0.999849   0.00142545  -0.00740675 
          50      9.49927     0.999849   0.00142581  -0.00740655 
          50      9.63352     0.999849   0.00142619  -0.00740635 
          50      9.76877     0.999849   0.00142658  -0.00740615 
          50       9.9049     0.999849   0.00142699  -0.00740595 
          50       10.042     0.999849   0.00142737  -0.00740574 
          50      10.1801     0.999849   0.00142774  -0.00740555 
          50       10.319      0.99985   0.00142813  -0.00740535 
          50      10.4589      0.99985   0.00142852  -0.00740515 
          50      10.5998      0.99985   0.00142895  -0.00740495 
          50      10.7416      0.99985   0.00142938  -0.00740474 
          50      10.8843      0.99985   0.00142979  -0.00740454 
          50       11.028      0.99985   0.00143018  -0.00740433 
          50      11.1726      0.99985   0.00143056  -0.00740412 
          50      11.3182      0.99985   0.00143095  -0.00740391 
          50      11.4647      0.99985   0.00143137   -0.0074037 
          50      11.6122      0.99985   0.00143182  -0.00740349 
          50      11.7605     0.999851   0.00143228  -0.00740327 
          50      11.9099     0.999851   0.00143271  -0.00740305 
          50      12.0602     0.999851    0.0014331  -0.00740284 
          50      12.2114     0.999851   0.00143345  -0.00740261 
          50      12.3636     0.999851   0.00143388  -0.00740236 
          50      12.5167     0.999852   0.00143442   -0.0074021 
          50      12.6707     0.999851    0.0014349   -0.0074019 
          50      12.8257      0.99985   0.00143519  -0.00740168 
          50      12.9817     0.999851   0.00143583  -0.00740142 
          50      13.1386     0.999851   0.00143628   -0.0074012 
          50      13.2964     0.999851   0.00143661  -0.00740098 
          50      13.4551     0.999851   0.00143703  -0.00740075 
          50      13.6149     0.999851   0.00143754  -0.00740053 
          50      13.7755     0.999852   0.00143808  -0.00740031 
          50      13.9371     0.999852   0.00143858  -0.00740011 
          50      14.0996     0.999852   0.00143904  -0.00739994 
          50      14.2631     0.999852   0.00143948  -0.00739978 
          50      14.4275     0.999852   0.00143988  -0.00739959 
          50      14.5928     0.999852   0.00144035  -0.00739939 
          50      14.7592     0.999852   0.00144084  -0.00739917 
          50      14.9264     0.999852   0.00144132  -0.00739894 
          50      15.0946     0.999852    0.0014418  -0.00739868 
          50      15.2637     0.999852    0.0014423  -0.00739841 
          50      15.4338     0.999853   0.00144283  -0.00739816 
          50      15.6048     0.999853   0.00144337  -0.00739796 
          50      15.7767     0.999853   0.00144368  -0.00739781 
          50      15.9496     0.999852     0.001444  -0.00739767 
          50      16.1235     0.999852   0.00144484  -0.00739747 
          50      16.2982     0.999853   0.00144544  -0.00739725 
          50      16.4739     0.999853   0.00144589    -0.007397 
          50      16.6506     0.999853   0.00144626  -0.00739673 
          50      16.8282     0.999855   0.00144659  -0.00739641 
          50      17.0068     0.999853    0.0014474  -0.00739598 
          50      17.1862     0.999852   0.00144802  -0.00739563 
          50      17.3667     0.999852   0.00144856  -0.00739535 
          50      17.5481     0.999852   0.00144908  -0.00739514 
          50      17.7304     0.999853    0.0014496  -0.00739497 
          50      17.9136     0.999854   0.00145008   -0.0073948 
          50      18.0979     0.999854   0.00145054  -0.00739461 
          50       18.283     0.999854     0.001451  -0.00739439 
          50      18.4691     0.999854   0.00145153  -0.00739414 
          50      18.6561     0.999853   0.00145213  -0.00739389 
          50      18.8441     0.999853    0.0014527  -0.00739365 
          50       19.033     0.999853   0.00145311  -0.00739342 
          50      19.2228     0.999853   0.00145345  -0.00739318 
          50      19.4136     0.999853   0.00145419   -0.0073929 
          50      19.6054     0.999855   0.00145463  -0.00739273 
          50       19.798     0.999856   0.00145538  -0.00739247 
          50      19.9917     0.999855   0.00145599  -0.00739218 
          50      20.1862     0.999853   0.00145635  -0.00739186 
          50      20.3818     0.999854   0.00145703  -0.00739159 
          50      20.5782     0.999854    0.0014576  -0.00739137 
          50      20.7756     0.999854    0.0014581  -0.00739117 
          50       20.974     0.999855   0.00145878  -0.00739097 
          50      21.1732     0.999855    0.0014594  -0.00739077 
          50      21.3734     0.999855    0.0014599  -0.00739055 
          50      21.5745     0.999855   0.00146031  -0.00739032 
          50      21.7767     0.999855   0.00146069  -0.00739007 
          50      21.9797     0.999854    0.0014611  -0.00738982 
          50      22.1837     0.999855   0.00146161  -0.00738957 
          50      22.3886     0.999855   0.00146224  -0.00738931 
          50      22.5945     0.999856     0.001463  -0.00738907 
          50      22.8013     0.999856   0.00146391  -0.00738885 
          50      23.0091     0.999857   0.00146483  -0.00738864 
          50      23.2177     0.999856   0.00146528  -0.00738844 
          50      23.4274     0.999856   0.00146569  -0.00738823 
          50       23.638     0.999855   0.00146608    -0.007388 
          50      23.8495     0.999855   0.00146648  -0.00738777 
          50       24.062     0.999855   0.00146693  -0.00738754 
