Variables = x, y, u, v, p

Zone, I=400, F=POINT
         -50            0  3.81067e-16 -2.25437e-23  -0.00942222 
         -50      5.80443            1   0.00173785  -0.00936962 
         -50      5.90948            1   0.00173785  -0.00936848 
         -50      6.01551            1   0.00173785  -0.00936734 
         -50      6.12244            1   0.00173785  -0.00936619 
         -50      6.23031            1   0.00173785  -0.00936504 
         -50      6.33912            1   0.00173785   -0.0093639 
         -50      6.44892            1   0.00173785  -0.00936278 
         -50      6.55962            1   0.00173785  -0.00936169 
         -50      6.67126            1   0.00173785  -0.00936061 
         -50      6.78384            1   0.00173785  -0.00935955 
         -50      6.89741            1   0.00173785  -0.00935847 
         -50      7.01187            1   0.00173785  -0.00935736 
         -50      7.12728            1   0.00173785   -0.0093562 
         -50      7.24363            1   0.00173785  -0.00935497 
         -50      7.36097            1   0.00173785  -0.00935371 
         -50       7.4792            1   0.00173785  -0.00935249 
         -50      7.59838            1   0.00173785  -0.00935149 
         -50      7.71854            1   0.00173785  -0.00934968 
         -50       7.8396            1   0.00173785  -0.00934818 
         -50      7.96161            1   0.00173785   -0.0093473 
         -50      8.08455            1   0.00173785  -0.00934669 
         -50      8.20849            1   0.00173785  -0.00934612 
         -50      8.33332            1   0.00173785  -0.00934546 
         -50      8.45909            1   0.00173785  -0.00934465 
         -50       8.5858            1   0.00173785  -0.00934368 
         -50      8.71351            1   0.00173785  -0.00934256 
         -50       8.8421            1   0.00173785  -0.00934135 
         -50      8.97164            1   0.00173785  -0.00934008 
         -50      9.10212            1   0.00173785   -0.0093388 
         -50       9.2336            1   0.00173785  -0.00933756 
         -50      9.36596            1   0.00173785  -0.00933637 
         -50      9.49927            1   0.00173785  -0.00933524 
         -50      9.63352            1   0.00173785  -0.00933418 
         -50      9.76877            1   0.00173785  -0.00933316 
         -50       9.9049            1   0.00173785  -0.00933216 
         -50       10.042            1   0.00173785  -0.00933117 
         -50      10.1801            1   0.00173785  -0.00933016 
         -50       10.319            1   0.00173785  -0.00932913 
         -50      10.4589            1   0.00173785  -0.00932805 
         -50      10.5998            1   0.00173785  -0.00932695 
         -50      10.7416            1   0.00173785  -0.00932582 
         -50      10.8843            1   0.00173785  -0.00932467 
         -50       11.028            1   0.00173785  -0.00932345 
         -50      11.1726            1   0.00173785  -0.00932344 
         -50      11.3182            1   0.00173785  -0.00932275 
         -50      11.4647            1   0.00173785  -0.00932168 
         -50      11.6122            1   0.00173785  -0.00932046 
         -50      11.7605            1   0.00173785  -0.00931922 
         -50      11.9099            1   0.00173785  -0.00931803 
         -50      12.0602            1   0.00173785  -0.00931689 
         -50      12.2114            1   0.00173785   -0.0093158 
         -50      12.3636            1   0.00173785  -0.00931473 
         -50      12.5167            1   0.00173785  -0.00931365 
         -50      12.6707            1   0.00173785  -0.00931256 
         -50      12.8257            1   0.00173785  -0.00931145 
         -50      12.9817            1   0.00173785  -0.00931034 
         -50      13.1386            1   0.00173785  -0.00930925 
         -50      13.2964            1   0.00173785   -0.0093082 
         -50      13.4551            1   0.00173785  -0.00930722 
         -50      13.6149            1   0.00173785  -0.00930631 
         -50      13.7755            1   0.00173785  -0.00930547 
         -50      13.9371            1   0.00173785  -0.00930468 
         -50      14.0996            1   0.00173785  -0.00930388 
         -50      14.2631            1   0.00173785  -0.00930301 
         -50      14.4275            1   0.00173785  -0.00930198 
         -50      14.5928            1   0.00173785  -0.00930073 
         -50      14.7592            1   0.00173785  -0.00929924 
         -50      14.9264            1   0.00173785  -0.00929759 
         -50      15.0946            1   0.00173785    -0.009296 
         -50      15.2637            1   0.00173785  -0.00929498 
         -50      15.4338            1   0.00173785  -0.00929521 
         -50      15.6048            1   0.00173785  -0.00929474 
         -50      15.7767            1   0.00173785   -0.0092938 
         -50      15.9496            1   0.00173785  -0.00929264 
         -50      16.1235            1   0.00173785  -0.00929141 
         -50      16.2982            1   0.00173785  -0.00929021 
         -50      16.4739            1   0.00173785  -0.00928909 
         -50      16.6506            1   0.00173785  -0.00928806 
         -50      16.8282            1   0.00173785  -0.00928711 
         -50      17.0068            1   0.00173785  -0.00928622 
         -50      17.1862            1   0.00173785  -0.00928534 
         -50      17.3667            1   0.00173785  -0.00928446 
         -50      17.5481            1   0.00173785  -0.00928355 
         -50      17.7304            1   0.00173785  -0.00928258 
         -50      17.9136            1   0.00173785  -0.00928157 
         -50      18.0979            1   0.00173785   -0.0092805 
         -50       18.283            1   0.00173785  -0.00927941 
         -50      18.4691            1   0.00173785  -0.00927831 
         -50      18.6561            1   0.00173785  -0.00927724 
         -50      18.8441            1   0.00173785  -0.00927621 
         -50       19.033            1   0.00173785  -0.00927525 
         -50      19.2228            1   0.00173785  -0.00927439 
         -50      19.4136            1   0.00173785   -0.0092736 
         -50      19.6054            1   0.00173785  -0.00927289 
         -50       19.798            1   0.00173785  -0.00927221 
         -50      19.9917            1   0.00173785   -0.0092715 
         -50      20.1862            1   0.00173785  -0.00927068 
         -50      20.3818            1   0.00173785  -0.00926967 
         -50      20.5782            1   0.00173785  -0.00926836 
         -50      20.7756            1   0.00173785  -0.00926797 
         -50       20.974            1   0.00173785  -0.00926648 
         -50      21.1732            1   0.00173785  -0.00926443 
         -50      21.3734            1   0.00173785  -0.00926226 
         -50      21.5745            1   0.00173785  -0.00926024 
         -50      21.7767            1   0.00173785  -0.00925857 
         -50      21.9797            1   0.00173785  -0.00925731 
         -50      22.1837            1   0.00173785   -0.0092565 
         -50      22.3886            1   0.00173785  -0.00925608 
         -50      22.5945            1   0.00173785  -0.00925597 
         -50      22.8013            1   0.00173785  -0.00925606 
         -50      23.0091            1   0.00173785  -0.00925625 
         -50      23.2177            1   0.00173785   -0.0092564 
         -50      23.4274            1   0.00173785   -0.0092564 
         -50       23.638            1   0.00173785  -0.00925617 
         -50      23.8495            1   0.00173785  -0.00925565 
         -50       24.062            1   0.00173785  -0.00925478 
         -50      24.2754            1   0.00173785  -0.00925356 
         -50      24.4897            1   0.00173785  -0.00925202 
         -50       24.705            1   0.00173785  -0.00925022 
         -50      24.9213            1   0.00173785  -0.00924822 
         -50      25.1385            1   0.00173785  -0.00924614 
         -50      25.3566            1   0.00173785  -0.00924409 
         -50      25.5756            1   0.00173785  -0.00924218 
         -50      25.7957            1   0.00173785  -0.00924051 
         -50      26.0166            1   0.00173785  -0.00923917 
         -50      26.2385            1   0.00173785   -0.0092382 
         -50      26.4613            1   0.00173785  -0.00923758 
         -50      26.6851            1   0.00173785  -0.00923722 
         -50      26.9098            1   0.00173785  -0.00923691 
         -50      27.1354            1   0.00173785  -0.00923633 
         -50      27.3621            1   0.00173785  -0.00923669 
         -50      27.5896            1   0.00173785  -0.00923689 
         -50      27.8181            1   0.00173785  -0.00923653 
         -50      28.0475            1   0.00173785  -0.00923598 
         -50      28.2779            1   0.00173785  -0.00923544 
         -50      28.5092            1   0.00173785  -0.00923503 
         -50      28.7414            1   0.00173785  -0.00923473 
         -50      28.9746            1   0.00173785  -0.00923452 
         -50      29.2088            1   0.00173785  -0.00923432 
         -50      29.4439            1   0.00173785  -0.00923402 
         -50      29.6799            1   0.00173785  -0.00923357 
         -50      29.9168            1   0.00173785  -0.00923288 
         -50      30.1548            1   0.00173785  -0.00923194 
         -50      30.3936            1   0.00173785  -0.00923072 
         -50      30.6334            1   0.00173785  -0.00922926 
         -50      30.8742            1   0.00173785  -0.00922761 
         -50      31.1158            1   0.00173785  -0.00922585 
         -50      31.3584            1   0.00173785  -0.00922408 
         -50       31.602            1   0.00173785  -0.00922241 
         -50      31.8465            1   0.00173785  -0.00922094 
         -50      32.0919            1   0.00173785  -0.00921976 
         -50      32.3383            1   0.00173785  -0.00921894 
         -50      32.5856            1   0.00173785   -0.0092185 
         -50       32.834            1   0.00173785  -0.00921843 
         -50      33.0831            1   0.00173785  -0.00921866 
         -50      33.3333            1   0.00173785  -0.00921907 
         -50      33.5843            1   0.00173785  -0.00921948 
         -50      33.8364            1   0.00173785  -0.00921966 
         -50      34.0894            1   0.00173785  -0.00921938 
         -50      34.3433            1   0.00173785  -0.00921836 
         -50      34.5981            1   0.00173785  -0.00921636 
         -50       34.854            1   0.00173785  -0.00921322 
         -50      35.1107            1   0.00173785  -0.00920891 
         -50      35.3684            1   0.00173785  -0.00920358 
         -50      35.6271            1   0.00173785  -0.00920536 
         -50      35.8867            1   0.00173785  -0.00921214 
         -50      36.1472            1   0.00173785  -0.00921574 
         -50      36.4086            1   0.00173785  -0.00921705 
         -50      36.6711            1   0.00173785  -0.00921674 
         -50      36.9344            1   0.00173785  -0.00921539 
         -50      37.1987            1   0.00173785  -0.00921342 
         -50      37.4639            1   0.00173785  -0.00921115 
         -50      37.7301            1   0.00173785  -0.00920881 
         -50      37.9972            1   0.00173785  -0.00920655 
         -50      38.2652            1   0.00173785  -0.00920449 
         -50      38.5342            1   0.00173785  -0.00920266 
         -50      38.8042            1   0.00173785  -0.00920109 
         -50      39.0751            1   0.00173785  -0.00919976 
         -50      39.3469            1   0.00173785  -0.00919866 
         -50      39.6197            1   0.00173785  -0.00919774 
         -50      39.8934            1   0.00173785  -0.00919699 
         -50       40.168            1   0.00173785  -0.00919636 
         -50      40.4436            1   0.00173785  -0.00919583 
         -50      40.7202            1   0.00173785  -0.00919538 
         -50      40.9977            1   0.00173785  -0.00919499 
         -50      41.2761            1   0.00173785  -0.00919465 
         -50      41.5554            1   0.00173785  -0.00919438 
         -50      41.8358            1   0.00173785  -0.00919417 
         -50       42.117            1   0.00173785  -0.00919403 
         -50      42.3992            1   0.00173785  -0.00919396 
         -50      42.6823            1   0.00173785  -0.00919396 
         -50      42.9664            1   0.00173785  -0.00919401 
         -50      43.2514            1   0.00173785  -0.00919408 
         -50      43.5373            1   0.00173785  -0.00919412 
         -50      43.8243            1   0.00173785  -0.00919406 
         -50      44.1121            1   0.00173785  -0.00919379 
         -50      44.4009            1   0.00173785  -0.00919319 
         -50      44.6906            1   0.00173785   -0.0091921 
         -50      44.9813            1   0.00173785  -0.00919032 
         -50      45.2729            1   0.00173785  -0.00918764 
         -50      45.5654            1   0.00173785  -0.00918382 
         -50      45.8589            1   0.00173785  -0.00917861 
         -50      46.1534            1   0.00173785   -0.0091822 
         -50      46.4488            1   0.00173785  -0.00918583 
         -50      46.7451            1   0.00173785  -0.00918909 
         -50      47.0423            1   0.00173785  -0.00919177 
         -50      47.3406            1   0.00173785  -0.00919376 
         -50      47.6397            1   0.00173785  -0.00919504 
         -50      47.9398            1   0.00173785  -0.00919564 
         -50      48.2409            1   0.00173785  -0.00919562 
         -50      48.5428            1   0.00173785  -0.00919508 
         -50      48.8457            1   0.00173785  -0.00919414 
         -50      49.1496            1   0.00173785   -0.0091929 
         -50      49.4545            1   0.00173785  -0.00919149 
         -50      49.7602            1   0.00173785  -0.00918999 
         -50      50.0668            1   0.00173785  -0.00918849 
         -50      50.3744            1   0.00173785  -0.00918705 
         -50      50.6831            1   0.00173785  -0.00918571 
         -50      50.9926            1   0.00173785  -0.00918449 
         -50       51.303            1   0.00173785   -0.0091834 
         -50      51.6144            1   0.00173785  -0.00918241 
         -50      51.9268            1   0.00173785  -0.00918148 
         -50        52.24            1   0.00173785  -0.00918059 
         -50      52.5542            1   0.00173785  -0.00917969 
         -50      52.8694            1   0.00173785  -0.00917872 
         -50      53.1856            1   0.00173785  -0.00917765 
         -50      53.5026            1   0.00173785  -0.00917646 
         -50      53.8205            1   0.00173785  -0.00917512 
         -50      54.1396            1   0.00173785  -0.00917366 
         -50      54.4594            1   0.00173785   -0.0091721 
         -50      54.7802            1   0.00173785   -0.0091705 
         -50      55.1019            1   0.00173785  -0.00916893 
         -50      55.4247            1   0.00173785  -0.00916751 
         -50      55.7483            1   0.00173785  -0.00916633 
         -50      56.0729            1   0.00173785  -0.00916553 
         -50      56.3984            1   0.00173785   -0.0091652 
         -50       56.725            1   0.00173785  -0.00916544 
         -50      57.0523            1   0.00173785  -0.00916626 
         -50      57.3807            1   0.00173785  -0.00916764 
         -50      57.7099            1   0.00173785  -0.00916939 
         -50      58.0403            1   0.00173785  -0.00917122 
         -50      58.3714            1   0.00173785  -0.00917259 
         -50      58.7035            1   0.00173785   -0.0091727 
         -50      59.0367            1   0.00173785  -0.00916752 
         -50      59.3707            1   0.00173785  -0.00916408 
         -50      59.7056            1   0.00173785  -0.00916369 
         -50      60.0414            1   0.00173785  -0.00916515 
         -50      60.3784            1   0.00173785  -0.00916753 
         -50      60.7161            1   0.00173785   -0.0091701 
         -50      61.0548            1   0.00173785  -0.00917235 
         -50      61.3944            1   0.00173785  -0.00917394 
         -50      61.7351            1   0.00173785  -0.00917466 
         -50      62.0767            1   0.00173785  -0.00917442 
         -50      62.4191            1   0.00173785  -0.00917325 
         -50      62.7625            1   0.00173785  -0.00917122 
         -50       63.107            1   0.00173785  -0.00916849 
         -50      63.4523            1   0.00173785  -0.00916523 
         -50      63.7985            1   0.00173785  -0.00916165 
         -50      64.1458            1   0.00173785  -0.00915798 
         -50      64.4939            1   0.00173785  -0.00915441 
         -50       64.843            1   0.00173785  -0.00915116 
         -50      65.1929            1   0.00173785  -0.00914839 
         -50       65.544            1   0.00173785  -0.00914625 
         -50      65.8959            1   0.00173785  -0.00914485 
         -50      66.2487            1   0.00173785  -0.00914426 
         -50      66.6025            1   0.00173785   -0.0091445 
         -50      66.9573            1   0.00173785  -0.00914556 
         -50       67.313            1   0.00173785  -0.00914738 
         -50      67.6695            1   0.00173785  -0.00914987 
         -50      68.0271            1   0.00173785  -0.00915289 
         -50      68.3857            1   0.00173785  -0.00915629 
         -50      68.7451            1   0.00173785  -0.00915988 
         -50      69.1055            1   0.00173785  -0.00916346 
         -50      69.4669            1   0.00173785  -0.00916682 
         -50      69.8291            1   0.00173785  -0.00916977 
         -50      70.1923            1   0.00173785  -0.00917212 
         -50      70.5564            1   0.00173785  -0.00917369 
         -50      70.9217            1   0.00173785  -0.00917437 
         -50      71.2877            1   0.00173785  -0.00917408 
         -50      71.6546            1   0.00173785  -0.00917281 
         -50      72.0225            1   0.00173785  -0.00917062 
         -50      72.3915            1   0.00173785  -0.00916766 
         -50      72.7613            1   0.00173785  -0.00916419 
         -50       73.132            1   0.00173785  -0.00916057 
         -50      73.5036            1   0.00173785  -0.00915729 
         -50      73.8764            1   0.00173785  -0.00915498 
         -50      74.2499            1   0.00173785  -0.00915441 
         -50      74.6244            1   0.00173785  -0.00915649 
         -50           75            1   0.00173785  -0.00916231 
