Variables = x, y, u, v, p

Zone, I=1000, F=POINT
         -30            0  3.60992e-16 -1.75494e-28  -0.00931558 
         -30     0.844386     0.492727  0.000343459  -0.00931463 
         -30     0.860393       0.5014  0.000355796   -0.0093146 
         -30      0.87655     0.510104  0.000368407  -0.00931458 
         -30     0.892858     0.518837  0.000381292  -0.00931456 
         -30     0.909315     0.527595  0.000394449  -0.00931453 
         -30     0.925924     0.536377  0.000407879  -0.00931451 
         -30     0.942682     0.545176  0.000421578  -0.00931448 
         -30     0.959591     0.553992  0.000435544  -0.00931445 
         -30      0.97665     0.562819  0.000449774  -0.00931442 
         -30     0.993859     0.571655  0.000464265   -0.0093144 
         -30      1.01122     0.580496  0.000479015  -0.00931437 
         -30      1.02873     0.589338  0.000494018  -0.00931434 
         -30      1.04639     0.598177   0.00050927  -0.00931431 
         -30       1.0642     0.607009  0.000524767  -0.00931428 
         -30      1.08216      0.61583  0.000540502  -0.00931424 
         -30      1.10027     0.624636   0.00055647  -0.00931421 
         -30      1.11853     0.633423  0.000572664  -0.00931418 
         -30      1.13695     0.642186  0.000589077  -0.00931414 
         -30      1.15551     0.650921  0.000605702  -0.00931411 
         -30      1.17422     0.659623  0.000622529  -0.00931407 
         -30      1.19308     0.668289  0.000639552  -0.00931404 
         -30      1.21209     0.676913  0.000656761    -0.009314 
         -30      1.23126     0.685491  0.000674145  -0.00931396 
         -30      1.25057     0.694018  0.000691695  -0.00931392 
         -30      1.27004      0.70249  0.000709399  -0.00931388 
         -30      1.28965     0.710901  0.000727247  -0.00931384 
         -30      1.30941     0.719248  0.000745225  -0.00931379 
         -30      1.32933     0.727525  0.000763323  -0.00931375 
         -30      1.34939     0.735728  0.000781526   -0.0093137 
         -30      1.36961     0.743852  0.000799823  -0.00931366 
         -30      1.38997     0.751891  0.000818198  -0.00931361 
         -30      1.41049     0.759843  0.000836638  -0.00931356 
         -30      1.43116     0.767702  0.000855129  -0.00931351 
         -30      1.45197     0.775463  0.000873653  -0.00931346 
