Variables = x, y, u, v, p

Zone, I=800, F=POINT
          20            0  3.26216e-18 -3.57213e-26   0.00180924 
          20      3.32729     0.995661   0.00188686    0.0015993 
          20      3.38342      0.99613    0.0018771   0.00158989 
          20      3.44007     0.996523   0.00186711   0.00158034 
          20      3.49714     0.996852   0.00185694   0.00157068 
          20      3.55472     0.997125   0.00184663   0.00156089 
          20      3.61273     0.997351   0.00183623     0.001551 
          20      3.67125     0.997538   0.00182576   0.00154099 
          20      3.73025     0.997691   0.00181526   0.00153088 
          20      3.78967     0.997816   0.00180477   0.00152069 
          20      3.84961     0.997919    0.0017943   0.00151039 
          20      3.90996     0.998002    0.0017839   0.00150001 
          20      3.97084      0.99807   0.00177355   0.00148954 
          20      4.03214     0.998126   0.00176329   0.00147901 
          20      4.09395     0.998172   0.00175313   0.00146839 
          20      4.15624      0.99821   0.00174309    0.0014577 
          20      4.21895     0.998241   0.00173316   0.00144695 
          20      4.28217     0.998268    0.0017234   0.00143614 
          20      4.34582     0.998291   0.00171376   0.00142528 
          20      4.40998     0.998311   0.00170425   0.00141437 
          20      4.47457     0.998329   0.00169491   0.00140341 
          20      4.53968     0.998345   0.00168571   0.00139241 
          20      4.60525      0.99836   0.00167668   0.00138137 
          20      4.67125     0.998374   0.00166782    0.0013703 
          20      4.73777     0.998387    0.0016591    0.0013592 
          20       4.8047     0.998399   0.00165055   0.00134808 
          20      4.87216     0.998412   0.00164216   0.00133693 
          20      4.94003     0.998424   0.00163394   0.00132578 
          20      5.00843     0.998436   0.00162588    0.0013146 
          20      5.07724     0.998447   0.00161799   0.00130343 
          20      5.14658     0.998459   0.00161026   0.00129224 
          20      5.21639     0.998471   0.00160269   0.00128105 
          20      5.28661     0.998482   0.00159528   0.00126987 
          20      5.35736     0.998494   0.00158802   0.00125869 
          20      5.42852     0.998505   0.00158093   0.00124752 
          20      5.50021     0.998517     0.001574   0.00123637 
          20      5.57231     0.998528   0.00156722   0.00122525 
          20      5.64493      0.99854   0.00156061   0.00121413 
          20      5.71803     0.998551   0.00155415   0.00120304 
          20      5.79154     0.998562   0.00154784   0.00119199 
          20      5.86558     0.998574   0.00154167   0.00118094 
          20      5.94003     0.998585   0.00153566   0.00116995 
          20      6.01501     0.998596   0.00152979   0.00115898 
          20       6.0904     0.998607   0.00152407   0.00114807 
          20      6.16632     0.998619    0.0015185   0.00113718 
          20      6.24271      0.99863   0.00151306   0.00112633 
          20       6.3195     0.998641   0.00150777   0.00111554 
          20      6.39683     0.998652   0.00150262   0.00110478 
          20      6.47457     0.998663    0.0014976   0.00109408 
          20      6.55284     0.998674   0.00149271   0.00108343 
          20      6.63152     0.998685   0.00148795   0.00107284 
          20      6.71073     0.998696   0.00148332    0.0010623 
          20      6.79034     0.998706   0.00147882   0.00105182 
          20      6.87049     0.998717   0.00147444    0.0010414 
          20      6.95111     0.998728   0.00147019   0.00103104 
          20      7.03214     0.998738   0.00146606   0.00102074 
          20       7.1137     0.998749   0.00146204   0.00101051 
          20      7.19566     0.998759   0.00145814   0.00100035 
          20      7.27816      0.99877   0.00145436  0.000990251 
          20      7.36106      0.99878    0.0014507  0.000980217 
          20      7.44451      0.99879   0.00144712  0.000970258 
          20      7.52842     0.998801   0.00144366  0.000960361 
          20      7.61273     0.998811   0.00144031  0.000950542 
          20      7.69758     0.998821   0.00143706  0.000940787 
          20      7.78283     0.998831   0.00143392  0.000931114 
          20      7.86862     0.998841   0.00143087  0.000921508 
          20      7.95481     0.998851   0.00142791  0.000911985 
          20      8.04155      0.99886   0.00142505  0.000902531 
          20      8.12868      0.99887   0.00142229   0.00089316 
          20      8.21635      0.99888    0.0014196  0.000883854 
          20      8.30449     0.998889   0.00141703  0.000874629 
